payment_id,order_id,payment_date,payment_method,payment_status,amount,refunded_amount
P00455,O00455,2024-02-12,Card,paid,80.83,0.0
P00456,O00456,2024-01-29,NetBanking,paid,301.17,0.0
P00457,O00457,2024-04-24,Wallet,paid,108.41,0.0
P00458,O00458,2024-03-16,Wallet,paid,386.26,0.0
P00459,O00459,2024-05-22,NetBanking,paid,88.69,0.0
P00460,O00460,2024-07-23,Card,paid,71.65,0.0
P00461,O00461,2024-09-29,UPI,paid,75.47,0.0
P00462,O00462,2024-08-20,Wallet,paid,195.45,0.0
P00463,O00463,2025-05-23,Wallet,paid,87.15,0.0
P00464,O00464,2025-07-31,UPI,paid,204.08,0.0
P00465,O00465,2025-04-17,Card,paid,122.85,0.0
P00466,O00466,2024-10-15,NetBanking,paid,202.41,0.0
P00467,O00467,2024-11-26,UPI,paid,191.47,0.0
P00468,O00468,2025-01-27,Card,paid,110.81,0.0
P00469,O00469,2025-03-26,UPI,paid,170.0,0.0
P00470,O00470,2025-10-05,Wallet,paid,144.12,0.0
P00471,O00471,2025-09-13,NetBanking,paid,173.35,0.0
P00472,O00472,2025-11-03,NetBanking,paid,278.26,0.0
P00473,O00473,2026-01-01,Wallet,paid,209.08,0.0
P00474,O00474,2025-11-14,NetBanking,paid,290.72,0.0
P00475,O00475,2025-04-13,Wallet,paid,69.01,0.0
P00476,O00476,2025-05-23,Card,paid,133.47,0.0
P00477,O00477,2025-07-25,Wallet,paid,98.49,0.0
P00478,O00478,2025-12-03,NetBanking,paid,310.27,0.0
P00479,O00479,2026-01-09,Card,paid,383.25,0.0
P00480,O00480,2026-02-15,UPI,paid,38.89,0.0
P00481,O00481,2024-04-14,UPI,refunded,32.27,32.27
P00482,O00482,2025-08-13,Wallet,refunded,341.65,341.65
P00483,O00483,2025-10-15,Wallet,paid,182.33,0.0
P00484,O00484,2025-11-26,NetBanking,paid,332.49,0.0
P00485,O00485,2026-02-13,Card,paid,410.86,0.0
P00486,O00486,2025-02-26,Card,paid,303.4,0.0
P00487,O00487,2025-04-12,Card,refunded,353.12,353.12
P00488,O00488,2025-05-09,NetBanking,paid,136.73,0.0
P00489,O00489,2025-06-13,Card,paid,320.44,0.0
P00490,O00490,2025-07-26,UPI,paid,125.15,0.0
P00491,O00491,2025-08-21,NetBanking,paid,155.93,0.0
P00492,O00492,2025-05-18,Wallet,paid,285.79,0.0
P00493,O00493,2024-11-02,UPI,paid,126.05,0.0
P00494,O00494,2024-11-28,NetBanking,paid,323.46,0.0
P00495,O00495,2024-12-30,NetBanking,paid,53.22,0.0
P00496,O00496,2025-01-28,Card,paid,167.22,0.0
P00497,O00497,2025-02-21,Card,paid,201.89,0.0
P00498,O00498,2025-03-13,UPI,paid,250.87,0.0
P00499,O00499,2025-04-12,UPI,paid,371.35,0.0
P00500,O00500,2025-05-27,NetBanking,paid,317.1,0.0
P00501,O00501,2025-06-13,UPI,paid,205.22,0.0
P00502,O00502,2025-01-02,UPI,paid,198.03,0.0
P00503,O00503,2025-02-07,NetBanking,partially_refunded,145.23,80.81
P00504,O00504,2025-02-28,Wallet,partially_refunded,116.4,51.32
P00505,O00505,2025-04-01,UPI,paid,216.7,0.0
P00506,O00506,2025-05-03,NetBanking,paid,362.02,0.0
P00507,O00507,2025-06-10,NetBanking,paid,167.34,0.0
P00508,O00508,2025-07-07,Wallet,paid,316.64,0.0
P00509,O00509,2025-08-10,Card,paid,299.33,0.0
P00510,O00510,2025-09-11,Wallet,paid,209.31,0.0
P00511,O00511,2025-10-29,NetBanking,paid,254.28,0.0
P00512,O00512,2025-12-07,Wallet,paid,131.31,0.0
P00513,O00513,2025-04-29,UPI,paid,221.74,0.0
P00514,O00514,2024-10-26,Wallet,paid,448.06,0.0
P00515,O00515,2024-08-24,Wallet,paid,39.46,0.0
P00516,O00516,2025-09-07,UPI,paid,382.98,0.0
P00517,O00517,2025-11-03,Wallet,paid,390.19,0.0
P00518,O00518,2025-12-21,NetBanking,paid,219.25,0.0
P00519,O00519,2026-01-31,UPI,paid,122.98,0.0
P00520,O00520,2024-10-06,Wallet,paid,80.87,0.0
P00521,O00521,2025-01-11,NetBanking,paid,42.96,0.0
P00522,O00522,2024-07-12,Wallet,paid,141.92,0.0
P00523,O00523,2024-08-21,UPI,paid,342.85,0.0
P00524,O00524,2024-10-30,UPI,paid,349.26,0.0
P00525,O00525,2025-12-04,NetBanking,paid,273.55,0.0
P00526,O00526,2025-05-05,UPI,paid,143.21,0.0
P00527,O00527,2025-07-01,UPI,paid,137.8,0.0
P00528,O00528,2025-03-17,Wallet,paid,203.79,0.0
P00529,O00529,2025-10-09,UPI,paid,197.75,0.0
P00530,O00530,2026-01-21,Wallet,paid,110.41,0.0
P00531,O00531,2025-09-12,UPI,refunded,306.03,306.03
P00532,O00532,2024-08-27,UPI,paid,135.58,0.0
P00533,O00533,2024-12-05,Card,paid,212.82,0.0
P00534,O00534,2024-07-31,Card,paid,144.35,0.0
P00535,O00535,2024-09-18,NetBanking,paid,321.6,0.0
P00536,O00536,2024-06-07,UPI,paid,315.81,0.0
P00537,O00537,2024-09-07,Card,paid,217.9,0.0
P00538,O00538,2025-11-18,UPI,paid,35.05,0.0
P00539,O00539,2026-01-10,NetBanking,paid,39.2,0.0
P00540,O00540,2026-02-13,NetBanking,failed,363.97,0.0
P00541,O00541,2025-08-19,Wallet,paid,32.67,0.0
P00542,O00542,2025-10-12,Wallet,paid,236.08,0.0
P00543,O00543,2025-12-24,Wallet,refunded,118.15,118.15
P00544,O00544,2025-10-12,UPI,paid,105.73,0.0
P00545,O00545,2024-11-15,NetBanking,refunded,429.87,429.87
P00546,O00546,2025-04-11,NetBanking,paid,71.39,0.0
P00547,O00547,2024-04-09,UPI,paid,285.16,0.0
P00548,O00548,2024-06-11,UPI,paid,155.26,0.0
P00549,O00549,2024-08-20,NetBanking,paid,395.38,0.0
P00550,O00550,2025-08-25,Card,paid,397.95,0.0
P00551,O00551,2025-10-12,Card,paid,308.49,0.0
P00552,O00552,2025-12-25,NetBanking,paid,148.78,0.0
P00553,O00553,2026-02-17,NetBanking,paid,355.36,0.0
P00554,O00554,2025-04-22,UPI,paid,116.2,0.0
P00555,O00555,2025-06-06,Card,paid,420.68,0.0
P00556,O00556,2025-08-08,Wallet,paid,51.64,0.0
P00557,O00557,2025-09-18,NetBanking,refunded,451.32,451.32
P00558,O00558,2025-10-27,Wallet,paid,37.88,0.0
P00559,O00559,2026-02-15,Card,paid,257.13,0.0
P00560,O00560,2024-07-08,UPI,paid,306.12,0.0
P00561,O00561,2024-09-14,NetBanking,paid,395.11,0.0
P00562,O00562,2025-09-30,Wallet,paid,106.22,0.0
P00563,O00563,2025-02-21,Wallet,paid,189.13,0.0
P00564,O00564,2025-04-12,Wallet,paid,425.67,0.0
P00565,O00565,2025-05-29,Card,paid,146.34,0.0
P00566,O00566,2025-07-07,NetBanking,paid,217.23,0.0
P00567,O00567,2025-08-25,Wallet,failed,424.41,0.0
P00568,O00568,2024-04-02,UPI,paid,319.09,0.0
P00569,O00569,2025-11-20,Wallet,paid,320.17,0.0
P00570,O00570,2024-07-17,Card,paid,68.96,0.0
P00571,O00571,2024-08-22,Wallet,paid,413.75,0.0
P00572,O00572,2024-09-29,Wallet,failed,41.51,0.0
P00573,O00573,2024-11-15,UPI,paid,336.79,0.0
P00574,O00574,2024-12-09,Card,paid,380.95,0.0
P00575,O00575,2025-01-04,Card,paid,173.09,0.0
P00576,O00576,2025-02-13,UPI,paid,211.95,0.0
P00577,O00577,2024-06-11,Card,paid,66.85,0.0
P00578,O00578,2025-07-23,UPI,paid,376.78,0.0
P00579,O00579,2025-08-21,UPI,paid,193.58,0.0
P00580,O00580,2025-09-21,Card,paid,343.73,0.0
P00581,O00581,2025-10-19,UPI,paid,250.13,0.0
P00582,O00582,2025-11-17,NetBanking,failed,55.93,0.0
P00583,O00583,2025-12-18,UPI,refunded,138.53,138.53
P00584,O00584,2026-01-07,NetBanking,paid,424.56,0.0
P00585,O00585,2024-06-09,Wallet,paid,154.07,0.0
P00586,O00586,2024-07-27,UPI,paid,145.15,0.0
P00587,O00587,2024-08-14,UPI,paid,54.74,0.0
P00588,O00588,2024-09-13,NetBanking,paid,156.26,0.0
P00589,O00589,2024-10-14,NetBanking,paid,83.2,0.0
P00590,O00590,2024-02-22,Card,paid,194.38,0.0
P00591,O00591,2024-05-03,NetBanking,paid,392.87,0.0
P00592,O00592,2024-06-20,UPI,paid,228.19,0.0
P00593,O00593,2024-08-01,Wallet,paid,297.29,0.0
P00594,O00594,2025-09-27,Wallet,paid,240.44,0.0
P00595,O00595,2025-05-03,NetBanking,paid,288.72,0.0
P00596,O00596,2025-07-06,UPI,paid,150.18,0.0
P00597,O00597,2024-10-26,NetBanking,paid,427.61,0.0
P00598,O00598,2024-11-28,NetBanking,paid,384.99,0.0
P00599,O00599,2025-09-21,Wallet,refunded,443.21,443.21
P00600,O00600,2025-11-26,Wallet,paid,187.09,0.0
P00601,O00601,2025-08-04,Card,paid,185.15,0.0
P00602,O00602,2025-09-11,UPI,paid,191.82,0.0
P00603,O00603,2025-10-18,NetBanking,paid,74.2,0.0
P00604,O00604,2025-11-12,NetBanking,paid,71.74,0.0
P00605,O00605,2025-12-01,Card,paid,107.11,0.0
P00606,O00606,2025-12-24,Card,paid,69.9,0.0
P00607,O00607,2024-06-19,Card,paid,381.45,0.0
P00608,O00608,2024-07-17,Card,paid,159.94,0.0
P00609,O00609,2024-08-25,NetBanking,paid,106.0,0.0
P00610,O00610,2024-09-22,Card,refunded,154.11,154.11
P00611,O00611,2024-10-17,UPI,paid,167.54,0.0
P00612,O00612,2024-11-24,Wallet,paid,172.91,0.0
P00613,O00613,2024-12-26,UPI,failed,132.61,0.0
P00614,O00614,2025-02-01,Wallet,paid,128.86,0.0
